Id,X,Y,Z,year,distance_rtk_m
170,205679.87,609475.141,2.24,2025,171.7269999999844
170_1,205680.025,609472.844,2.135,2025,172.96953413846285
170_2,205680.146,609471.995,2.302,2025,173.72952074664715
170_3,205679.944,609471.029,2.352,2025,174.48911405509244
170_4,205679.849,609469.91,2.483,2025,175.50216293824565
170_5,205679.958,609468.965,2.657,2025,176.43717337033362
170_6,205679.979,609467.825,2.866,2025,177.5428609956573
170_7,205680.035,609466.701,2.894,2025,178.6494661106353
170_8,205680.093,609465.4,2.948,2025,179.93426298214456
170_9,205680.207,609464.326,3.02,2025,181.01019168764674
170_10,205680.28,609462.933,3.061,2025,182.39362872606574
170_11,205680.437,609461.735,3.065,2025,183.60085556128274
185,205680.441,609461.085,3.077,2025,184.24261001359702
185_1,205680.379,609459.443,3.075,2025,185.8564466384843
185_2,205680.598,609456.781,2.923,2025,188.52340748888886
185_3,205680.738,609453.953,2.886,2025,191.34631979987523
185_4,205680.623,609452.654,2.842,2025,192.62334124302413
185_5,205680.633,609451.144,2.706,2025,194.12583903201508
185_6,205680.691,609449.832,2.574,2025,195.4369374138168
185_7,205680.369,609448.218,2.521,2025,197.01486637015572
200,205680.647,609446.662,2.563,2025,198.58886945991682
200_1,205680.502,609444.744,2.459,2025,200.48839926922722
200_2,205681.322,609441.54,2.315,2025,203.75104801326387
200_3,205681.715,609439.456,2.174,2025,205.8633295860211
200_4,205682.013,609438.328,2.022,2025,207.01585969550655
200_5,205682.072,609437.299,1.925,2025,208.0454202893819
207,205682.081,609436.653,1.873,2025,208.6889388325905
207_1,205681.758,609434.891,1.722,2025,210.41201213748127
207_2,205680.452,609432.481,1.653,2025,212.72244235753328
207_3,205679.683,609429.733,1.613,2025,215.4341068361013
207_4,205679.249,609428.047,1.583,2025,217.1069853842601
207_5,205678.882,609426.73,1.58,2025,218.41664013535518
220,205678.731,609425.825,1.565,2025,219.3195052692052
220_1,205678.547,609423.735,1.615,2025,221.4075874944134
220_2,205678.189,609421.993,1.452,2025,223.14801990660027
220_3,205678.143,609420.374,1.414,2025,224.76699999999255
220_4,205678.145,609419.015,1.597,2025,226.1260000355652
220_5,205678.747,609413.916,1.569,2025,231.22797923333042
220_6,205678.988,609412.076,1.567,2025,233.07066077022623
240,205679.15,609410.285,1.573,2025,234.86381722492604
240_1,205680.292,609404.088,1.54,2025,241.08549085427825
240_2,205680.832,609398.929,1.527,2025,246.2594234504233
250,205681.156,609395.72,1.534,2025,249.47813164635647
250_1,205681.07,609393.504,1.497,2025,251.68945524361146
250_2,205681.477,609390.181,1.531,2025,255.02539124281458
250_3,205681.564,609388.406,1.527,2025,256.80243928598776
260,205681.782,609386.949,1.545,2025,258.267044727839
260_1,205681.737,609384.061,1.722,2025,261.1508817071576
260_2,205681.678,609381.197,1.613,2025,264.01048537786346
260_3,205681.154,609378.493,1.488,2025,266.6948914110054
270,205681.122,609374.783,1.479,2025,270.4022041838628
270_1,205681.634,609369.183,1.483,2025,276.01549341957764
280,205682.065,609365.656,1.46,2025,279.55522492787316
280_1,205682.038,609358.239,1.461,2025,286.96686979226365
290,205682.138,609354.823,1.478,2025,290.3843060743085
290_1,205681.482,609347.832,1.403,2025,297.3527793256682
300,205681.723,609341.361,1.396,2025,303.8278924588452
300_1,205681.618,609333.202,1.344,2025,311.9815317073685
300_2,205681.24,609322.05,1.385,2025,323.122322637716
300_3,205680.982,609317.987,1.328,2025,327.1796412929923
300_4,205680.88,609315.487,1.274,2025,329.67745891325336
300_5,205680.761,609310.22,1.336,2025,334.9417781066732
300_6,205680.312,609306.777,1.273,2025,338.37797081857485
300_7,205680.234,609304.846,1.325,2025,340.3078368894825
300_8,205680.671,609301.668,1.342,2025,343.49141913362547
300_9,205680.449,609300.914,1.267,2025,344.24225998587235
300_10,205680.554,609298.064,1.255,2025,347.09341277974147
300_11,205680.723,609297.204,1.316,2025,347.9557033898345
300_12,205681.006,609295.656,1.309,2025,349.5078326814596
350,205681.126,609294.712,1.246,2025,350.45365701464516
350_1,205681.116,609293.346,1.325,2025,351.81930797902874
350_2,205681.178,609289.959,1.278,2025,355.20686906529124
350_3,205680.941,609287.881,1.313,2025,357.28090240053785
350_4,205680.735,609286.687,1.306,2025,358.4718243663126
350_5,205680.626,609285.28,1.242,2025,359.8772356286251
350_6,205680.474,609281.595,1.294,2025,363.56003636337084
350_7,205680.218,609279.375,1.295,2025,365.7769965572524
350_8,205680.202,609277.616,1.248,2025,367.53573121327474
350_9,205680.113,609276.423,1.299,2025,368.72776460272837
350_10,205680.055,609273.663,1.265,2025,371.48707211134183
350_11,205679.645,609267.604,1.3,2025,377.54243511377683
350_12,205679.519,609264.005,1.28,2025,381.140483735296
350_13,205679.382,609263.373,1.238,2025,381.7716245037745
350_14,205679.583,609261.637,1.187,2025,383.5088560598406
350_15,205679.47,609259.211,1.237,2025,385.93407750739993
350_16,205679.482,609257.458,1.265,2025,387.68711815351617
350_17,205679.765,609254.717,1.309,2025,390.4299676994932
350_18,205680.058,609249.706,1.299,2025,395.4431335170194
350_19,205680.422,609246.739,1.298,2025,398.4133696721818
400,205680.772,609244.303,1.321,2025,400.85297027544345
400_1,205681.331,609236.485,1.288,2025,408.67729192359377
400_2,205681.474,609234.907,1.276,2025,410.2570921262686
400_3,205681.044,609232.166,1.3,2025,412.99231762750975
400_4,205680.832,609227.521,1.256,2025,417.63460000774853
400_5,205680.725,609226.409,1.149,2025,418.74540105895437
400_6,205681.175,609224.764,1.092,2025,420.39535769057125
400_7,205681.179,609224.028,1.087,2025,421.1313522142299
400_8,205683.164,609223.225,1.102,2025,421.96603242695994
400_9,205684.266,609218.425,1.098,2025,426.7890102495584
400_10,205684.351,609217.089,1.178,2025,428.12666264443254
400_11,205684.477,609215.897,1.213,2025,429.32136643935263
400_12,205684.504,609214.178,1.146,2025,431.04051350316075
400_13,205684.647,609210.388,1.092,2025,434.83287753780115
400_14,205684.761,609205.103,1.108,2025,440.1190836797146
400_15,205684.699,609199.248,1.089,2025,445.97088358186926
400_16,205684.779,609196.997,1.124,2025,448.22315006480665
400_17,205684.875,609194.02,1.14,2025,451.2015939943415
400_18,205684.916,609191.475,1.138,2025,453.7468468282632
400_19,205684.94,609184.537,1.095,2025,460.68347738556014
400_20,205684.865,609183.734,1.026,2025,461.484519199452
400_21,205684.835,609183.143,0.877,2025,462.0746734448988
400_22,205684.7,609182.505,0.794,2025,462.7094510687435
400_23,205684.651,609182.211,1.07,2025,463.00228491252733
400_24,205684.638,609180.933,1.079,2025,464.27968378566436
400_25,205684.709,609176.537,1.095,2025,468.67618112591504
400_26,205684.829,609173.704,1.159,2025,471.5111400345772
400_27,205685.16,609168.534,1.128,2025,476.68728493039185
400_28,205685.341,609164.43,1.068,2025,480.79436404950087
400_29,205685.488,609160.59,1.106,2025,484.6367439222348
